,Unnamed: 0,Object Type,Actionable Properties
95,95,statue,"Pickupable, Breakable"
96,96,stool,Moveable
97,97,stove_burner,"Toggleable, Receptacle"
98,98,stove_knob,Toggleable
99,99,table_top_decor,Pickupable
100,100,target_circle,
101,101,teddy_bear,Pickupable
102,102,television,"Toggleable, Breakable, Moveable"
103,103,tennis_racket,Pickupable
104,104,tissue_box,"Pickupable, UsedUp"
105,105,toaster,"Toggleable, Receptacle, Moveable"
106,106,toilet,"Openable, Receptacle"
107,107,toilet_paper,"Pickupable, UsedUp"
108,108,toilet_paper_hanger,Receptacle
109,109,tomato,"Pickupable, Sliceable"
110,110,towel,Pickupable
111,111,towel_holder,Receptacle
112,112,tv_stand,"Receptacle, Moveable"
113,113,vacuum_cleaner,Moveable
114,114,vase,"Pickupable, Breakable"
115,115,watch,Pickupable
116,116,watering_can,"Pickupable, Fillable"
117,117,window,Breakable
118,118,wine_bottle,"Pickupable, Fillable, Breakable"
0,0,person,
1,1,bicycle,Moveable
2,2,car,"Fillable, Moveable, Openable"
3,3,motorcycle,Moveable
4,4,airplane,"Fillable, Moveable"
5,5,bus,"Fillable, Moveable"
6,6,train,"Fillable, Moveable"
7,7,truck,"Fillable, Moveable, Openable"
8,8,boat,"Fillable, Moveable"
9,9,traffic_light,
10,10,fire_hydrant,
11,11,stop_sign ,
12,12,parking_meter,Fillable
13,13,bench,Moveable
14,14,bird,
15,15,cat,
16,16,dog,
17,17,horse,
18,18,sheep,
19,19,cow,
20,20,elephant,
21,21,bear,
22,22,zebra,
23,23,giraffe,
24,24,backpack,"Pickupable, Openable, Fillable"
25,25,umbrella,Pickupable
26,26,handbag,Pickupable
27,27,tie,Pickupable
28,28,suitcase,"Pickupable, Openable, Fillable"
29,29,frisbee,Pickupable
30,30,skis,Pickupable
31,31,snowboard,Pickupable
32,32,sports_ball,Pickupable
33,33,kite,Pickupable
34,35,baseball_glove,Pickupable
35,36,skateboard,Pickupable
36,37,surfboard,Pickupable
37,40,wine_glass,"Pickupable, Fillable, Breakable, Dirtyable"
38,46,banana,"Pickupable, Sliceable"
39,48,sandwich,"Pickupable, Sliceable"
40,49,orange,"Pickupable, Sliceable"
41,50,broccoli,"Pickupable, Sliceable"
42,51,carrot,"Pickupable, Sliceable"
43,52,hot_dog,"Pickupable, Sliceable"
44,53,pizza,"Pickupable, Sliceable"
45,54,donut,"Pickupable, Sliceable"
46,55,cake,"Pickupable, Sliceable"
47,57,couch,Moveable
48,58,potted_plant,"Fillable, Moveable"
49,64,mouse,Pickupable
50,66,keyboard,Toggleable
51,69,oven,"Openable, Toggleable"
52,74,clock,Pickupable
53,76,scissors,Pickupable
55,78,hair_drier,Pickupable
56,79,tooth_brush,Pickupable
